0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_event/EventService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_Friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_Friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_admin/AdminController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_admin/AdminService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:54 -0700] "GET /collaborationFrontEnd/C_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:56 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:56 -0700] "GET /collaborationControllers/myFriends HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:56 -0700] "GET /collaborationControllers/viewPendingRequest HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:56 -0700] "GET /collaborationControllers/viewSentRequest HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:56 -0700] "GET /collaborationFrontEnd/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:26:56 -0700] "GET /collaborationFrontEnd/images/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:27:06 -0700] "GET /collaborationFrontEnd/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:27:06 -0700] "GET /collaborationFrontEnd/lib/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:27:06 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:27:06 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:27:06 -0700] "GET /collaborationFrontEnd/images/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:27:14 -0700] "POST /collaborationControllers/login HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:27:29 -0700] "POST /collaborationControllers/login HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:27:32 -0700] "POST /collaborationControllers/login HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:01 -0700] "POST /collaborationControllers/login HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:05 -0700] "POST /collaborationControllers/login HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:08 -0700] "POST /collaborationControllers/login HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:10 -0700] "GET /collaborationFrontEnd/C_event/viewEvents.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:10 -0700] "GET /collaborationControllers/getEvents HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:10 -0700] "GET /collaborationFrontEnd/images/event1.jpg HTTP/1.1" 200 595961
